v,dzeta,ELECTROSTATIC
0.5,1.1087499484578531,False
0.5,1.1015896746612879,False
0.6,1.0758166762528663,False
0.6,1.07258596133046,False
0.4,1.1738421335191616,False
0.4,1.1639872500595025,False
0.3,1.289516296883252,False
0.3,1.3050624859788262,False
0.3,1.306472960082203,False
0.45,1.1286488555336334,False
0.45,1.1285444492900976,False
0.45,1.1302783026109515,False
0.55,1.091461390382451,False
0.55,1.0905864864688515,False
0.55,1.0897954569441837,False
0.6,1.0599448344744788,True
0.6,1.0567873474702059,True
0.6,1.0559256953321814,True
0.5,1.1087382690815273,True
0.5,1.103293128634815,True
0.5,1.1077293092504321,True
0.5,1.0896715379615485,True
0.5,1.102481502343499,True
0.5,1.1103918423726482,True
45.062,45.062,24.938,34.938,76800.0,51200.0,3.3759368921529918,False
44.619,44.619,25.381,35.381,76800.0,51200.0,3.016112719368415,False
44.508,44.508,25.492,35.492,76800.0,51200.0,2.790781546644965,False
36.96,36.96,33.04,43.04,64000.0,64000.0,3.296685649640422,False
36.731,36.731,33.269,43.269,64000.0,64000.0,3.4141317044448205,False
37.029333333333334,37.029333333333334,32.970666666666666,42.970666666666666,64000.0,64000.0,3.3964928477276866,False
51.904,51.904,18.096,28.096,89600.0,38400.0,3.361157353876047,False
51.868,51.868,18.132,28.132,89600.0,38400.0,3.135667139287652,False
52.35,52.35,17.65,27.65,89600.0,38400.0,2.9323311051915075,False